State,State Code,Year,Month Code,Gender,Deaths
Arizona,4,2014,2014/08,Female,1906
Arizona,4,2014,2014/08,Male,2251
Arizona,4,2014,2014/09,Female,1898
Arizona,4,2014,2014/09,Male,2134
Arizona,4,2014,2014/10,Female,2004
Arizona,4,2014,2014/10,Male,2231
Arizona,4,2014,2014/11,Female,1950
Arizona,4,2014,2014/11,Male,2323
Arizona,4,2014,2014/12,Female,2174
Arizona,4,2014,2014/12,Male,2312
Arizona,4,2015,2015/01,Female,2397
Arizona,4,2015,2015/01,Male,2652
Arizona,4,2015,2015/02,Female,2017
Arizona,4,2015,2015/02,Male,2275
Arizona,4,2015,2015/03,Female,2274
Arizona,4,2015,2015/03,Male,2548
Arizona,4,2015,2015/04,Female,2197
Arizona,4,2015,2015/04,Male,2345
Arizona,4,2015,2015/05,Female,2124
Arizona,4,2015,2015/05,Male,2397
Arizona,4,2015,2015/06,Female,2043
Arizona,4,2015,2015/06,Male,2350
Arizona,4,2015,2015/07,Female,2055
Arizona,4,2015,2015/07,Male,2296
Arizona,4,2015,2015/08,Female,1983
Arizona,4,2015,2015/08,Male,2383
Arizona,4,2015,2015/09,Female,1911
Arizona,4,2015,2015/09,Male,2289
Arizona,4,2015,2015/10,Female,2017
Arizona,4,2015,2015/10,Male,2282
Arizona,4,2015,2015/11,Female,2110
Arizona,4,2015,2015/11,Male,2452
Arizona,4,2015,2015/12,Female,2273
Arizona,4,2015,2015/12,Male,2629
